model_key,model,arm,arm_id,output_dir,agent_rows,agents_exists,api_error_rate,expected_rows_match,missing_agent_columns,missing_period_columns,parse_error_rate,pass,period_rows,periods_exists,surveillance_leak_pass
gemma4,Gemma 4 26B A4B,scramble,large_random_scramble_gemma4,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_gemma4/large_random_scramble_gemma4,2500,True,0.0,True,[],[],0.0,True,250,True,True
gemma4,Gemma 4 26B A4B,flip,large_random_flip_gemma4,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_gemma4/large_random_flip_gemma4,2500,True,0.0,True,[],[],0.0,True,250,True,True
gemma4,Gemma 4 26B A4B,comm,large_random_comm_baseline_gemma4,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_gemma4/large_random_comm_baseline_gemma4,2500,True,0.0,True,[],[],0.0,True,250,True,True
gemma4,Gemma 4 26B A4B,surveillance,large_random_surv_sender_only_gemma4,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_gemma4/large_random_surv_sender_only_gemma4,2500,True,0.0004,True,[],[],0.0004,True,250,True,True
gemma4,Gemma 4 26B A4B,direct,large_random_direct_replay_gemma4,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_gemma4/large_random_direct_replay_gemma4,2500,True,0.0,True,[],[],0.0,True,250,True,True
gemma4,Gemma 4 26B A4B,coded,large_random_coded_replay_gemma4,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_gemma4/large_random_coded_replay_gemma4,2500,True,0.0,True,[],[],0.0,True,250,True,True
llamamav,Llama 4 Maverick,pure,large_random_pure_llamamav,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_llamamav/large_random_pure_llamamav,2500,True,0.0,True,[],[],0.0,True,250,True,True
llamamav,Llama 4 Maverick,scramble,large_random_scramble_llamamav,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_llamamav/large_random_scramble_llamamav,2500,True,0.0,True,[],[],0.0,True,250,True,True
llamamav,Llama 4 Maverick,flip,large_random_flip_llamamav,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_llamamav/large_random_flip_llamamav,2500,True,0.0,True,[],[],0.0,True,250,True,True
llamamav,Llama 4 Maverick,comm,large_random_comm_baseline_llamamav,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_llamamav/large_random_comm_baseline_llamamav,2500,True,0.0,True,[],[],0.0,True,250,True,True
llamamav,Llama 4 Maverick,surveillance,large_random_surv_sender_only_llamamav,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_llamamav/large_random_surv_sender_only_llamamav,2500,True,0.0,True,[],[],0.0,True,250,True,True
llamamav,Llama 4 Maverick,direct,large_random_direct_replay_llamamav,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_llamamav/large_random_direct_replay_llamamav,2500,True,0.0,True,[],[],0.0,True,250,True,True
llamamav,Llama 4 Maverick,coded,large_random_coded_replay_llamamav,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_llamamav/large_random_coded_replay_llamamav,2500,True,0.0,True,[],[],0.0,True,250,True,True
mistral4,Mistral Small 4,pure,large_random_pure_mistral4,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_mistral4/large_random_pure_mistral4,2500,True,0.0,True,[],[],0.0,True,250,True,True
mistral4,Mistral Small 4,scramble,large_random_scramble_mistral4,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_mistral4/large_random_scramble_mistral4,2500,True,0.0,True,[],[],0.0,True,250,True,True
mistral4,Mistral Small 4,flip,large_random_flip_mistral4,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_mistral4/large_random_flip_mistral4,2500,True,0.0,True,[],[],0.0,True,250,True,True
mistral4,Mistral Small 4,comm,large_random_comm_baseline_mistral4,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_mistral4/large_random_comm_baseline_mistral4,2500,True,0.0,True,[],[],0.0,True,250,True,True
mistral4,Mistral Small 4,surveillance,large_random_surv_sender_only_mistral4,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_mistral4/large_random_surv_sender_only_mistral4,2500,True,0.0,True,[],[],0.0,True,250,True,True
mistral4,Mistral Small 4,direct,large_random_direct_replay_mistral4,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_mistral4/large_random_direct_replay_mistral4,2500,True,0.0,True,[],[],0.0,True,250,True,True
mistral4,Mistral Small 4,coded,large_random_coded_replay_mistral4,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_mistral4/large_random_coded_replay_mistral4,2500,True,0.0,True,[],[],0.0,True,250,True,True
glm51,GLM 5.1,pure,large_random_pure_glm51,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_glm51_signal_retry/large_random_pure_glm51,2500,True,0.0,True,[],[],0.0,True,250,True,True
glm51,GLM 5.1,scramble,large_random_scramble_glm51,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_glm51_signal_retry/large_random_scramble_glm51,2500,True,0.0,True,[],[],0.0,True,250,True,True
glm51,GLM 5.1,flip,large_random_flip_glm51,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_glm51_signal_retry/large_random_flip_glm51,2500,True,0.0,True,[],[],0.0,True,250,True,True
glm51,GLM 5.1,comm,large_random_comm_baseline_glm51,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_glm51/large_random_comm_baseline_glm51,2500,True,0.0012,True,[],[],0.0012,True,250,True,True
glm51,GLM 5.1,surveillance,large_random_surv_sender_only_glm51,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_glm51/large_random_surv_sender_only_glm51,2500,True,0.0048,True,[],[],0.0048,True,250,True,True
glm51,GLM 5.1,direct,large_random_direct_replay_glm51,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_glm51/large_random_direct_replay_glm51,2500,True,0.0,True,[],[],0.0,True,250,True,True
glm51,GLM 5.1,coded,large_random_coded_replay_glm51,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_glm51/large_random_coded_replay_glm51,2500,True,0.0,True,[],[],0.0,True,250,True,True
