paper_location	paper_claim_or_quote	citation_keys	source_support	bibliography_check	verdict
paper.tex:118	"collective action problem under repression"	shadmehr2011	Cambridge abstract says the paper models protest/revolution under uncertain payoffs, where citizens infer the benefit of revolution and others' likely actions; it also links protest and repression.	APSR 105(4):829-851, 2011 and DOI 10.1017/S0003055411000359 match publisher metadata.	Supported
paper.tex:118	"Chinese censorship targets posts about collective action specifically"	king2013	King-Pan-Roberts state censorship is aimed at curtailing collective action/social mobilization, not merely criticism; see tmp/citation_audit_text/king2013.txt:26-28,84-91,1506-1512.	APSR 107(2):326-343, 2013 matches local source metadata.	Supported
paper.tex:118	"low demand for uncensored information and limited social transmission can make censorship robust"	chen2019	Chen-Yang's AER abstract reports that free access alone does not induce acquisition of politically sensitive information, social transmission is statistically significant but small, and those forces can make censorship robust even when many citizens receive uncensored internet access.	American Economic Review 109(6):2294-2332, 2019 with DOI 10.1257/aer.20171765 confirmed from AEA metadata and added to paper/references.bib.	Supported after manuscript wording fix
paper.tex:118	"surveillance announcements suppress online expression"	penney2016; stoycheff2016	Penney finds post-Snowden chilling effects in Wikipedia traffic; Stoycheff finds surveillance awareness and perceived justification reduce willingness to voice minority political views; see tmp/citation_audit_text/penney2016.txt:7-18,2470-2488; tmp/citation_audit_text/stoycheff2016.txt:25-32,479-485,549-552.	Corrected Penney author from Jon W. to Jonathon W. Penney; BTLJ 31(1):117-182 matches source. Corrected Stoycheff journal to Journalism & Mass Communication Quarterly; 93(2):296-311 and DOI match source/publisher metadata.	Supported after bib fix
paper.tex:118	"social media facilitates protest"	enikolopov2020	Enikolopov-Makarin-Petrova find VK penetration increased protest probability and turnout, consistent with lower collective-action costs; see tmp/citation_audit_text/enikolopov2020.txt:36-47,2759-2763.	Corrected pages from 1478-1514 to 1479-1514 and added DOI 10.3982/ECTA14281 in paper/references.bib.	Supported after bib fix
paper.tex:118	LLM depositors in a bank-run coordination game with network contagion and phase transitions	ruano2026	Ruano-Rajan arXiv abstract describes LLM depositors, network communication, bank runs, 4,900 configurations, and a sharp spillover phase transition near 0.10; see tmp/citation_audit_text/ruano2026.txt:1-31.	Official arXiv BibTeX lists Chris Ruano then Shreshth Rajan for arXiv:2602.15066; the rendered PDF title page visibly places Rajan first, so the bibliography follows arXiv metadata while noting the source discrepancy. DOI 10.48550/arXiv.2602.15066 matches.	Supported after metadata conflict check
paper.tex:122	LLMs proposed as "homo silicus"	horton2023	Horton NBER paper title and abstract frame LLMs as simulated economic agents and "homo silicus"; see tmp/citation_audit_text/horton2023.txt:1-6,37-39.	NBER Working Paper 31122, 2023 matches local source.	Supported
paper.tex:116	"pre-play cheap talk changes coordination behavior in global games"	avoyan2020	Avoyan introduces communication as a strategic choice in a global game, states that communication can increase coordinated attacks and reduce futile attempts, and reports experimental evidence that communication reduces miscoordination; see tmp/citation_audit_text/avoyan2020.txt:46-52,124-160.	Corrected BibTeX from an unrelated 2020 JEBO cheap-talk article to Avoyan, Communication in Global Games: Theory and Experiment, working paper dated February 13, 2024.	Supported after bib fix
paper.tex:116	"classic treatments of cheap talk and pre-play communication"	crawford1982; farrell1996; blume2007; ellingsen2010	Crawford-Sobel develop the strategic communication model; Farrell-Rabin is a Cheap Talk survey; Blume-Ortmann study costless pre-play communication experimentally; Ellingsen-Ostling analyze when communication improves coordination; see tmp/citation_audit_text/crawford1982.txt:1-4,23-30; tmp/citation_audit_text/farrell1996.txt:1-4,23-29; tmp/citation_audit_text/blume2007.txt:1-7,16-26; tmp/citation_audit_text/ellingsen2010.txt:1-11.	Corrected Crawford author from Vincent Crawford to Vincent P. Crawford; the other entries match local source metadata.	Supported after bib fix
paper.tex:122	"LLMs struggle in coordination games"	akata2025; sun2025survey	Akata et al. report LLM underperformance/suboptimal behavior in coordination games; Sun et al. survey game-theoretic LLM evaluation and challenges in strategic games; see tmp/citation_audit_text/akata2025.txt:10-15,214-218,957-966; tmp/citation_audit_text/sun2025survey.txt:133-161.	Akata Nature Human Behaviour 9:1380-1390, 2025 DOI 10.1038/s41562-025-02172-y confirmed online; Sun IJCAI-25 pages 10669-10677 DOI confirmed online.	Supported
paper.tex:122	"model scale not predicting strategic performance"	jia2025	Jia et al. report that advanced/larger models do not always dominate across strategic game types and that longer reasoning chains do not consistently improve decisions; see tmp/citation_audit_text/jia2025.txt:12-23,64-72,425-438,612-616.	Updated BibTeX from arXiv-only to official NeurIPS 2025 proceedings metadata (Advances in Neural Information Processing Systems 38) after checking the NeurIPS proceedings page.	Supported after bib update
paper.tex:122	"alignment shifts risk preferences"	ouyang2024	Ouyang-Yun-Zheng find alignment tuning significantly increases risk aversion and reduces risk appetite; see tmp/citation_audit_text/ouyang2024.txt:828-906,1096-1103.	arXiv:2406.01168 was submitted in 2024 and revised in 2025; DOI matches arXiv.	Supported
paper.tex:122	"amplified moral-decision biases"	cheung2025	Cheung-Maier-Lieder find LLMs show amplified cognitive biases in moral decision-making and warn uncritical reliance could amplify human biases; see tmp/citation_audit_text/cheung2025.txt:12-31.	PNAS 122(25):e2412015122, 2025 DOI matches local source.	Supported
paper.tex:122	"validation challenges" in LLM/generative social simulation	larooij2026; larooij2025b	Larooij-Tornberg identify validation/calibration as central problems and argue LLMs exacerbate long-standing ABM validation issues; see tmp/citation_audit_text/larooij2026.txt:12-17,92-102,1123-1125; tmp/citation_audit_text/larooij2025b.txt:20-24.	AI Review 59:15 DOI matches local source; arXiv:2504.03274 entry matches local source.	Supported
paper.tex:214	"shifted-grid construction ... does not separate BNE from level-k behavior"	szkup2020	Szkup-Trevino do not discuss this paper's shifted grid; they support the cited caution by showing threshold behavior can depart from BNE and by discussing level-k/cognitive-hierarchy alternatives that could explain results only under strong assumptions; see tmp/citation_audit_text/szkup2020.txt:1468-1490,1726-1748.	Bibliography item correct.	Contextual support, not a direct source claim
paper.tex:298	"real coordination problems are dynamic"	angeletos2007a; chassang2010	Both cited articles are dynamic global-games papers centered on timing, learning, exit, and miscoordination; see tmp/citation_audit_text/angeletos2007a.txt:7-25 and tmp/citation_audit_text/chassang2010.txt:1-17.	Bibliography items correct.	Supported
paper.tex:116	"value of information depends on publicness"	morris2002	Morris-Shin study the welfare effects of public information in a setting with a coordination motive from strategic complementarities; see tmp/citation_audit_text/morris2002.txt:22-29.	American Economic Review 92(5):1521-1534, 2002 matches local JSTOR/source metadata.	Supported
paper.tex:116	"subjects weight private against public information under strategic complementarities"	cornand2014	Cornand-Heinemann state that public information has a larger effect than private information of the same precision and experimentally measure responses to public and private signals; see tmp/citation_audit_text/cornand2014.txt:12-21.	Experimental Economics 17(1):61-77, 2014 matches local source and published metadata.	Supported
paper.tex:116	"regime distorts the signals citizens receive in a regime-change global game"	edmond2013	Edmond studies endogenous information manipulation in games where citizens can coordinate to overthrow a regime, with propaganda/signal manipulation raising survival chances; see tmp/citation_audit_text/edmond2013.txt:1-16.	Review of Economic Studies 80(4):1422-1458, 2013 matches published metadata.	Supported
paper.tex:116	"information-design treatments of coordination and censorship as optimal persuasion"	goldstein2016; inostroza2025; kolotilin2022	Goldstein-Huang applies Bayesian persuasion to coordination/regime-change games; Inostroza-Pavan studies public information design in global games; Kolotilin-Mylovanov-Zapechelnyuk applies Bayesian persuasion to media censorship; see tmp/citation_audit_text/goldstein2016.txt:4-21, tmp/citation_audit_text/inostroza2025.txt:12-22, and tmp/citation_audit_text/kolotilin2022.txt:15-22.	Goldstein AER Papers & Proceedings 106(5):592-596, 2016; Inostroza-Pavan Theoretical Economics 20:763-813, 2025; Kolotilin et al. Theoretical Economics 17:561-585, 2022 match source metadata.	Supported
paper.tex:118	"informational autocrats rule by manipulating information rather than by mass violence"	guriev2019	Guriev-Treisman define informational autocrats and describe nonviolent information manipulation as central to modern authoritarian control; source metadata and title page are in tmp/citation_audit_text/guriev2019.txt:1-6,24-26.	Journal of Economic Perspectives 33(4):100-127, 2019 with DOI 10.1257/jep.33.4.100 matches local source metadata.	Supported
paper.tex:118	"communication technology enters protest"	little2016	Little develops formal models in which communication technology provides information about dissatisfaction and protest logistics; see tmp/citation_audit_text/little2016.txt:35-44.	The Journal of Politics 78(1):152-166, 2016; corrected journal field to include "The" per JSTOR/publisher metadata.	Supported after bib fix
paper.tex:118	"friction-based censorship"	roberts2018	Roberts's Princeton chapter excerpt defines friction as raising the time or money costs of accessing or spreading information, identifies friction and flooding as censorship mechanisms, and states that friction and flooding divert most people away from censored information; see tmp/citation_audit_text/roberts2018_princeton_ch1.txt:297-321 and 406-408.	Censored: Distraction and Diversion Inside China's Great Firewall, Princeton University Press, 2018 matches Princeton/JSTOR metadata.	Supported
paper.tex:118	"digital surveillance as an instrument of preemptive control"	xu2021	Xu argues digital surveillance identifies anti-regime sentiment, enabling targeted repression to forestall coordinated uprisings; see tmp/citation_audit_text/xu2021.txt:8-19.	American Journal of Political Science 65(2):309-325, 2021 matches published metadata.	Supported
paper.tex:118	"second-order-belief margin in human populations and protest participation"	bursztyn2020misperceived; bursztyn2020extreme; cantoni2019	Bursztyn-Gonzalez-Yanagizawa-Drott measure misperceived support by others and behavior after belief corrections; Bursztyn-Egorov-Fiorin study public expression and social sanctions under shifting norms; Cantoni et al. experimentally recalibrate beliefs about others' protest participation; see tmp/citation_audit_text/bursztyn2020misperceived.txt:10-23, tmp/citation_audit_text/bursztyn2020extreme.txt:11-20, and tmp/citation_audit_text/cantoni2019.txt:29-40.	Bursztyn et al. AER 110(10):2997-3029, 2020; Bursztyn et al. AER 110(11):3522-3548, 2020; Cantoni et al. The Quarterly Journal of Economics 134(2):1021-1077, 2019. Corrected QJE journal field to include "The".	Supported after bib fix
paper.tex:120	"Bayesian persuasion treats information as selected posterior beliefs; actions can be steered without changing beliefs"	kamenica2011; bergemann2019information; mathevet2020; gans2026bayesian	Kamenica-Gentzkow characterize sender-optimal signals that change receiver actions; Bergemann-Morris define information design as choosing information structures to influence behavior; Mathevet-Perego-Taneva is a JPE information-design-in-games treatment; Gans states that institutions can steer outcomes without changing beliefs by selecting procedures mapping beliefs to actions; see tmp/citation_audit_text/kamenica2011.txt:4-20, tmp/citation_audit_text/bergemann2019information.txt:4-16, tmp/citation_audit_text/mathevet2020.txt:4-9, and tmp/citation_audit_text/gans2026bayesian.txt:41-50,86-89.	Kamenica-Gentzkow AER 101(6):2590-2615, 2011; Bergemann-Morris JEL 57(1):44-95, 2019; Mathevet et al. JPE 128(4):1370-1404, 2020; Gans NBER Working Paper 35312, 2026 match source metadata.	Supported
paper.tex:122	"LLMs replicate human-subject results, simulate survey samples, and behave within the human distribution in canonical games"	aher2023; argyle2023; mei2024	Aher-Arriaga-Kalai introduce Turing Experiments and report replication of several human-subject findings; Argyle et al. create silicon samples conditioned on survey backstories; Mei et al. compare AI chatbot behavior in classic behavioral games to human distributions; see tmp/citation_audit_text/aher2023.txt:8-29, tmp/citation_audit_text/argyle2023.txt:20-33, and tmp/citation_audit_text/mei2024.txt:20-31.	Aher et al. ICML/PMLR 202:337-371, 2023; Argyle et al. Political Analysis 31(3):337-351, 2023; Mei et al. PNAS 121(9):e2313925121, 2024 match source/publisher metadata.	Supported
paper.tex:100	"currency attacks" as coordination crises	morris1998	Morris-Shin is titled "Unique Equilibrium in a Model of Self-Fulfilling Currency Attacks" and appears in AER 88(3):587-597; see tmp/citation_audit_text/morris1998.txt:1-6.	American Economic Review 88(3):587-597, 1998 matches local JSTOR/source metadata.	Supported
paper.tex:460	"Following Horton, probe directly whether models recognize the experiment"	horton2023	Horton discusses the performativity/memorization problem for LLM experiments, says the concern can be checked by asking whether the model knows the relevant experimental results, and demonstrates such a direct probe; see tmp/citation_audit_text/horton2023.txt:269-292.	Bibliography item correct: NBER Working Paper 31122, 2023.	Supported
